s	-1.893739517016341665983638444144885628475014674244183303912052567496352772207434142969100349982064891339763604988358607158803526238454879776685815552482381	-0.414946124659005446033255574330787247139745875274512949335553100798549590936647502400807356305211894780849588233615173087683677897364036058528092180692213
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
33	-1.992331853840317765084284744642417505447222681226139304465431354088992985903768039095239397098657004561524729355753803165459726616568817e-17	3.149950824928692802233517722517890176767556236089428571117728472053300852829715359927991710973743815257078577004543736683140166092244575e-17
34	2.614428904108595013165504314023045984490979674299575605986248979092217709514658649171436398130951012178541555869386235002099710335338728e-17	-2.323072512603829005875428710121443633609438804383826693226827763526053076619499477375616045316301280178653246583380602921114984502286071e-17
35	5.42291896982908969973370021186819911133351141483347663923972735337032469290218543200071927447722470983987850096347253074992807249626098e-18	-1.567735108803911473457923522355633689461889626967610365993816162426425838566012654184381337935197843123570746744978096607260758809420253e-17
36	-1.30462614759732640972866734419973841684056186996715006094905662120955465572060437233610515982111938449128697772877144740699872937538139e-18	-5.13869756013966745022163630784958300057365689537779350389587523395430873416200262392764731260676077346781438859026079676624054577026173e-18
37	-1.21470666359578145581951571150104203395693813921888427674180093666488670804293023230423686563676606142226881885057497376101688387137476e-18	-8.5712106953024989559641251854438414612510409748273555855061611830168087308495141172498767320340995634362125899158902076511445299195642e-19
38	-4.0947400085762143679588581693349345694647860792111755104761425199460057388309431210552107052682018355320574123095201029389940919771359e-19	8.480136252503578012813838534390179063499685379679241521099583747902620452556744918334594430806702153465387719390329080007858798283084e-20
39	-6.15432609693663327973902202540463187091627014539680514713849364186883298402411913074429517644258702309096876270999001748649439629094e-20	1.0843443896858241005254909540472565772456549359485769511680890348544176917273427886046105658562377959078207357391538204470652320753711e-19
40	1.178989453603479929641175009984218738296523318665894565162251772782791820116488376000981834922097714632345466028970890459758398715491e-20	3.625135168757205388386583627947226941171967443309853672187040708674850899513508826940078353098496018802135677832511179124345769142646e-20
41	1.053244101727034912386432911819616641611661681591996557074237061874752986507306619046766990097861107054550703845485413034203064708259e-20	4.88667727339355614423714247506860640860703883254772465602882899309511980024375831317011859695142260608397102103217281682559859592046e-21
42	3.27752788661810171947691926818175684980298367889582328180629662336044789999494828257784628983367662567415243318820236678780707610735e-21	-1.34591279338209399363338688983654577122565639272071410943754711118268562748981943363600685775009682479151305191523522696084901405171e-21
43	3.8482908988171301282997762911191771034972893112426505837813948863789449958425313794871628510582145678395542877848695444773559428303e-22	-1.01357368050586234402470720974990245840418073625978859426452424633647751488547690603532914803125139800510783637366591537692874500048e-21
44	-1.4395855295832134116552060207458607824907988425339449488538135495127109090775515356694354702926443826986564512646279271299430907802e-22	-2.9573169020474400055475845180854983729972713828372683050335058035125355440030151943349764629885031027395660076137527598131067500325e-22
45	-9.525379884725417517687690545844100333981229525020305914759597906281682609202088199661677357225341832034282312662382348407169399316e-23	-2.847021990357104911261614123005554890420144423914190787345669951807735455189637155368298890798137224457314171519036229854437080032e-23
46	-2.603962267800705137542065676499422621077684057313529086511273812658451041020797542623944580997559020339030802827389996215957337565e-23	1.569354288926766046101977299510336150109618805165715282952190577636638557420504390416907159202377438251585244936511541356015443737e-23
47	-1.91056501191990955586678919804145667742281934254155203123069766616590765280653876779781020288847167268490937153187620086523232846e-24	9.14146983117547129176004640022367994623324501832006730807640612097435735248068628687440340455423883427041245636999008800690992504e-24
48	1.63472971700368033259538323638800541637178362646023589106876148622196250207939003354831896493135852435557946699463220510130328767e-24	2.31727924565320616100118964264992970916204937247888633808645012956385588288414019271029254890698625859256148368937910004000275924e-24
49	8.5329859665481073631396024740210514564386360607666564111604643550178961322475908802216957557232147725315254214275558580117812817e-25	1.0466429723107838642240805703690468878333019644901238812687636149464861487730145020673504105624320235088876104511353666822663594e-25
50	1.9968018161658533737841295223930598565471481783481318332275764882579872910821728148181354787302193434246593037567216914405791512e-25	-1.7322782210733454586072104069419797602033224845806311507520123908591651313945173486465981692366599132286663272098982578960052196e-25
51	2.66005286965426604473110028560705162957313899817937496609311984223395298910398456907231656120579148422414983132124728391861895e-27	-8.127909955945611011752552400717380824377801750836985333671926237806290469466549822580463957755447701812323426290898408222082302e-26
52	-1.757514661369908923808803305182037187047356367324874677984617153152878005565855174876238951249953599347351275409545288838275822e-26	-1.730652579550811282370468157829476193681140844791310989747047602114422212723033286484728698476771100258342765431877935674709606e-26
