s	-0.58801233459500310947949600201737942196639978059092993013238364113041542636467947319277097931297444597319650276133979376995835121301788549956921365380597520	1.40296064781598375056510712652031271921980638763463817629966138455112259330518937584554890002032444911846359493420151979202226430537330169611322933242695563
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
29	-4.00399363648746750594474218518982812095786286539416072491742001701077075169167802683877104665450423928288472410237093023637793456373220174746e-16	-1.09714306934128050218385239697212655405697840715903826503492786872640042555300209851158903404526628701560821297496799940021500014774858539661e-16
30	2.25053011485650814423533598998605445428968357854564429072040312573371221121914951368839694622685012737004287159106896052500765966831338287065e-16	1.54501139201906541643373370851430425627503286040405775909462937002433571538347732054869336724349384021342836040548699502094449026252778984148e-16
31	1.56613938267855044085925489716730040243606146046877416994424810982539237624328439091933973895100270906386385097197085539579166177508579845803e-16	1.62080732036364445313935511191149824149940553530355681741425257859845614849776413815154525307823582501483120626101392052892014485355198508813e-16
32	7.8677609892125694256264750423166808656142113012329088810918896142981420826534747236510555330467536085982567932311222407106229929334720434429e-17	5.298149914362492478339610680568749704263955836135137964291231693827426169489086641947966365814109357444562210624002172486000846831755514358e-17
33	2.3764743755902899187686596444864843627984328569353707050512950321829613228699449934715682033487299875953999608629814835004007825590809464598e-17	-2.782844384573825209759857263959316013020672973998582072466659609255409286158355631099409572147876923308433527190267775783783589703064260204e-18
34	-1.1008860246016408367969267270959472329021925837834271562561346025129861058434755263891396635628236810763484483318182829333483228249359031573e-17	-6.714437956338541661239953928923675352540221175894577265688730219938266987329935530417921135971773681621273092102967888580517491720116488867e-18
35	-9.253674652074809052968576393906343200922650194319687789689015428152219894312269678427800684480932605623978870525616747706037682577826754311e-18	-5.612134083870088009433755949890566292248179756919392311462765800134264368491348925887211529052230533800676797543354609144868331314833132326e-18
36	-2.020150861552189448739032842471293820380225389148457705543033880787160075934264379082850567969149634998781735743743262777859484050254332048e-18	-3.039240728883005603598967816106711575038930644391850495216391095931333991499483122056904297655803965007779150841510032540535768034839726888e-18
37	-7.9273691107916036044311071841198581302582582704091573702563882949604847651723832447410489295858334474880777875933535909854288020808982676e-19	1.28544955431012608898802666524673320691204720932299594029826306625383720081153170730566011966760422271750710631957202990224385782587492592e-19
38	1.55575181856695714773489886675541534362304103683608661528117416807070270473292996964148933660805904390701610795124481592600938730331260634e-19	5.34342120556450646383006998046742356038609104737320227587953243576233232711928692095154772354189269454945155522116329740462105570117951207e-19
39	5.52629916733253111862029859794787425821007739452204771191231514320855852339307557023950906436649203639923075225053975051007358737764821683e-19	1.55596616665901946830819945522503429690186324822564887632981450377705473601208640524599042450580567060018078838086794426958199648839040232e-19
40	1.08261029815699631621374940994818439074543609665120931924590226553704089237870530431012947079699211550203725424752740989423318898428981837e-19	1.20278305190473688756332395676810220399529732526796305131731306261239563437260525689405488664066100234389018233157875749810480411748519022e-19
